7zip 26.00-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
acpi 1.8-2
ada 3.4.4-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.3-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
anki 25.09.2-8
ansible 13.5.0-1
ansible-core 2.20.4-1
ansible-lint 26.4.0-1
aom 3.13.3-1
apache 2.4.66-2
appimagelauncher 3.0.0_beta_3-1
appstream 1.1.2-1
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.10.0-4
arch-wiki-docs 20260401-1
archlinux-keyring 20260409-1
archlinux-wallpaper 1.6.1-7
argon2 20190702-6
aspnet-runtime 10.0.4.sdk104-1
asusctl 6.3.7-1
at-spi2-core 2.60.1-1
atkmm 2.28.4-2
attr 2.5.2-2
atuin 18.15.0-1
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
awww 0.12.0-1
ayatana-ido 0.10.4-1
azure-cli 2.85.0-1
baobab 50.0-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bat 0.26.1-2
bc 1.08.2-1
bcg729 1.1.1-2
bind 9.20.22-1
binutils 2.46-1
binwalk 3.1.0-1
bison 3.8.2-8
blackarch-keyring 20251011-2
bleachbit 5.0.2-2
blueman 2.4.6-2
bluez 5.86-4
bluez-libs 5.86-4
bluez-obex 5.86-4
bluez-utils 5.86-4
bolt 0.9.11-1
boost-libs 1.90.0-4
brave-bin 1:1.89.132-1
breeze-icons 6.25.0-1
breezy 3.3.21-2
brightnessctl 0.5.1-3
brltty 6.9.1-1
brotli 1.2.0-1
btop 1.4.6-2
bubblewrap 0.11.1-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.122-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
catch2 3.14.0-1
cava 0.10.7-1
cdparanoia 10.2-9
checksec 3.1.0-2
chromaprint 1.6.0-3
cifs-utils 7.5-1
clamav 1.5.2-2
clang 22.1.3-1
cliphist 1:0.7.0-2
cmake 4.3.1-1
code 1.114.0-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.8-1
compiler-rt 22.1.3-1
composefs 1.0.8-1
